,N1,add_closeness_centrality,add_average_degree_connectivity,add_avg_neighbor_deg,add_eigenvector_centrality_numpy,add_katz_centrality_numpy,avg_clustering,deg_cent,degree,degree_assortativity_coefficient,density,group_degree_centrality,large_clique_size,len_local_bridges,len_min_edge_dominating_set,len_min_maximal_matching,len_min_weighted_dominating_set,len_min_weighted_vertex_cover,ramsey_R2,mean_degree_mixing_matrix,nb_edges,nb_nodes,node_connectivity,treewidth_min_degree
0,1,0.6153846153846154,23.16666666666667,2.6666666666666665,0.44515582225115524,0.3733690546554607,0.0,0.375,3,-0.6444444444444444,0.2222222222222222,0.375,2,8,2,2,3,4,12,0.027777777777777776,8,9,1,1
1,3,1.0,1.0,1.0,0.0,0.7071067811865476,0.0,1.0,1,0.0,1.0,1.0,2,1,1,1,1,2,2,0.25,1,2,1,1
2,4,0.6086956521739131,151.0,6.6,0.344096251591679,0.2996607873296255,0.581,0.3571428571428571,5,-0.26892147587511833,0.2761904761904762,0.35714285714285715,4,3,6,6,4,12,32,0.012345679012345678,29,15,1,3
3,7,1.0,1.0,1.0,0.0,0.7071067811865476,0.0,1.0,1,0.0,1.0,1.0,2,1,1,1,1,2,2,0.25,1,2,1,1
4,8,0.5454545454545454,50.16666666666667,6.0,0.3480044938951968,0.2565245958607972,0.15,0.16666666666666666,3,-0.722751322751323,0.1286549707602339,0.16666666666666666,3,10,4,4,3,8,26,0.012345679012345678,22,19,1,2
5,9,0.625,19.0,3.5,0.431101651333085,0.4088908553745235,0.327,0.4,2,-0.8333333333333331,0.4,0.4,3,3,2,2,1,4,12,0.027777777777777776,6,6,1,2
6,10,0.6,16.4,3.0,0.37174803446018434,0.3871293831746448,0.0,0.3333333333333333,2,-0.7760000000000002,0.2857142857142857,0.3333333333333333,2,6,1,1,2,2,10,0.027777777777777776,6,7,1,1
7,11,0.5333333333333333,106.58333333333334,9.0,0.21791253986061776,0.2351613123579232,0.29600000000000004,0.125,2,-0.6069054006765428,0.15441176470588236,0.125,3,9,3,3,2,6,36,0.005917159763313609,21,17,1,2
8,12,1.0,26.0,2.5,0.5590325523850368,0.4928749301938125,0.7709999999999999,1.0,4,-0.5,0.7,1.0,3,0,2,2,1,4,6,0.04,7,5,2,2
9,14,0.5247524752475248,348.3782051282052,12.6,0.138904248612589,0.16200607175809245,0.24600000000000002,0.09433962264150944,5,-0.4650003629863164,0.055904961565338925,0.09433962264150944,4,26,12,12,8,24,108,0.0005948839976204639,80,54,1,4
10,15,0.5714285714285714,235.03333333333333,8.0,0.2542550260902298,0.2413373169167766,0.606,0.25,4,-0.3387992952974658,0.2720588235294117,0.25,5,0,7,7,4,14,45,0.004444444444444445,37,17,1,4
11,16,0.5769230769230769,108.75,4.5,0.25938167588631883,0.2664088180365126,0.297,0.26666666666666666,4,-0.4912718204488778,0.21666666666666667,0.26666666666666666,3,4,6,6,7,12,27,0.015625,26,16,1,3
12,17,0.6190476190476191,87.75,4.2,0.26744488011287504,0.2935512854787457,0.358,0.38461538461538464,5,-0.22457937088515,0.2967032967032967,0.38461538461538464,4,0,7,7,5,14,15,0.015625,27,14,2,3
13,18,0.5757575757575758,108.93333333333334,4.0,0.22998328772675145,0.2677288225767981,0.19899999999999998,0.2631578947368421,5,-0.15079365079365073,0.15263157894736842,0.2631578947368421,3,6,7,7,9,14,22,0.012345679012345678,29,20,1,3
14,19,0.6666666666666666,4.0,2.0,0.5,0.5598852584152163,0.0,0.5,1,-1.0,0.6666666666666666,0.5,2,2,1,1,1,2,4,0.1111111111111111,2,3,1,1
15,20,0.5301204819277109,356.3777777777778,9.6,0.10147072918267486,0.15573471498447147,0.555,0.11363636363636365,5,-0.3875441427535723,0.08080808080808081,0.11363636363636365,4,10,14,14,14,28,84,0.001040582726326743,80,45,1,4
16,21,0.6666666666666666,5.333333333333334,2.0,0.5773502691896261,0.4667572150637692,0.0,0.5,2,-0.3333333333333334,0.4,0.5,2,4,2,2,3,4,6,0.1111111111111111,4,5,1,1
17,23,0.6,13.0,3.0,0.2818451988548682,0.4511105021915275,0.597,0.3333333333333333,1,-0.7142857142857144,0.6666666666666666,0.3333333333333333,3,1,2,2,1,4,4,0.0625,4,4,1,2
18,25,0.5714285714285714,54.77777777777778,4.25,0.4738439571028189,0.29809709635809595,0.0,0.25,4,-0.6240601503759396,0.1323529411764706,0.25,2,10,5,5,4,10,24,0.020408163265306117,18,17,1,2
19,27,0.52,310.70666666666665,14.0,0.10631013239826416,0.1361248187939854,0.38299999999999995,0.07692307692307693,4,-0.5189876599200414,0.050072568940493466,0.07692307692307693,3,25,11,11,5,22,105,0.0004938271604938272,69,53,1,2
20,28,0.5714285714285714,8.0,4.0,0.35355339059327384,0.42183074386605374,0.0,0.25,1,-1.0,0.4,0.25,2,4,1,1,1,2,8,0.04,4,5,1,1
21,29,0.5263157894736842,177.66666666666663,11.5,0.13569113306369243,0.17821252510372526,0.529,0.1,2,-0.4299868399158963,0.1761904761904762,0.1,4,3,8,8,2,16,33,0.0025,37,21,1,3
22,30,0.5078125,2492.6479038505354,33.333333333333336,0.04871062542357712,-0.00020340786604667097,0.61,0.030769230769230767,6,-0.3241762383393044,0.019309262166405026,0.030769230769230767,4,36,59,59,28,118,348,3.5012779664577565e-05,369,196,1,4
23,31,1.0,1.0,1.0,0.0,0.7071067811865476,0.0,1.0,1,0.0,1.0,1.0,2,1,1,1,1,2,2,0.25,1,2,1,1
24,32,0.5344827586206896,126.06302521008404,8.75,0.231914101911754,0.2122725312103218,0.17300000000000001,0.12903225806451613,4,-0.6174195453203426,0.08669354838709678,0.12903225806451613,4,17,8,8,4,16,69,0.00390625,43,32,1,3
25,33,0.6363636363636364,134.8095238095238,4.111111111111111,0.4754269875782396,0.3399661692647521,0.17,0.42857142857142855,9,-0.054216867469879484,0.15151515151515152,0.42857142857142855,3,8,9,9,11,18,33,0.01,35,22,1,3
26,35,0.6,81.4,5.666666666666668,0.3538162906537369,0.326355865263578,0.33399999999999996,0.3333333333333333,3,-0.7042483660130717,0.3111111111111111,0.3333333333333333,4,5,2,2,2,4,28,0.012345679012345678,14,10,1,3
27,36,0.58,191.16071428571428,5.25,0.3756893109319419,0.2731581988163054,0.23,0.27586206896551724,8,-0.29117006279636043,0.11954022988505747,0.27586206896551724,3,6,10,10,13,20,45,0.005102040816326529,52,30,1,6
28,37,0.6,9.0,3.0,0.5477225575051664,0.35988232993881863,0.0,0.3333333333333333,3,-0.5,0.2,0.3333333333333333,2,9,3,3,4,6,14,0.0625,9,10,1,1
29,38,0.55,137.83333333333334,7.25,0.27947989315236654,0.23794315586178785,0.3,0.18181818181818185,4,-0.6067790498512574,0.12648221343873514,0.18181818181818185,3,11,5,5,4,10,48,0.0034602076124567475,32,23,1,3
30,41,0.5263157894736842,278.5891402714932,12.5,0.18512645365870148,0.18029837389857936,0.39399999999999996,0.1,4,-0.4570361576320612,0.07073170731707316,0.1,4,17,9,9,4,18,108,0.0009765625,58,41,1,4
31,42,0.625,10.666666666666666,2.5,0.5116672736016927,0.4246904500124884,0.0,0.4,2,-0.6666666666666669,0.3333333333333333,0.4,2,5,2,2,2,4,8,0.0625,5,6,1,1
32,43,0.56,251.3261904761905,6.666666666666668,0.23635477247757664,0.2226228076219364,0.37799999999999995,0.21428571428571427,6,-0.3631596670996296,0.13793103448275862,0.21428571428571427,4,5,11,11,14,22,36,0.0025,56,29,1,4
33,44,1.0,13.0,1.6666666666666667,0.6116284573553773,0.5422439369776948,0.584,1.0,3,-0.7142857142857143,0.6666666666666666,1.0,3,1,2,2,1,4,6,0.0625,4,4,1,2
