Unnamed: 0,N1,N2,sentence,relation,add_closeness_centrality,add_average_degree_connectivity,add_avg_neighbor_deg,add_eigenvector_centrality_numpy,add_katz_centrality_numpy,avg_clustering,common_neighbors,deg_cent,degree,degree_assortativity_coefficient,density,group_degree_centrality,large_clique_size,len_local_bridges,len_min_edge_dominating_set,len_min_maximal_matching,len_min_weighted_dominating_set,len_min_weighted_vertex_cover,ramsey_R2,local_node_connectivity,mean_degree_mixing_matrix,nb_edges,nb_nodes,node_connectivity,resource_allocation_index,treewidth_min_degree
0,614989,HP:0002664,"The SNP rs11102001, which encodes a nonsynonymous amino acid change P356S in EPS8L3, is a potential candidate modifier of the effect of HCAs on prostate cancer risk.",0,1.4423570997499784,214611.74275540764,196.85898994811933,0.29241778980322664,0.3836026713502433,0.0,0.0,0.9987562189054726,803.0,-0.6983854148566222,0.02098204629028769,1.0,2.0,41.0,33.0,33.0,33.0,66.0,1544,31.0,1.67789739321861e-06,6790.0,805.0,1.0,0,28.0
1,603848,HP:0003128,Our study further emphasizes that NDUFS6 sequence should be analyzed in patients presenting with lethal neonatal lactic acidemia due to isolated complex I deficiency,1,1.3348382242287435,699315.1857142857,141.76591692363502,0.18848404019879367,0.00015942895366449623,0.0,0.0,1.0033783783783785,297.0,-0.3412950823508661,0.23946673946673944,1.0,2.0,2.0,134.0,134.0,2.0,268.0,296,134.0,4.444444444444445e-05,10526.0,297.0,1.0,0,163.0
2,613012,HP:0001251,"This report describes the first putative mutations, p.L70P and p.R450C, in the coding region of the UROC1 gene in a girl with urocanic aciduria presenting with mental retardation and intermittent ataxia.",1,1.4450686851970829,1093215.5189898692,313.56339483394834,0.20253355435509068,0.08554010841339707,0.0,0.0,1.0011273957158962,888.0,-0.7167817615199091,0.054671074682348636,1.0,2.0,3.0,73.0,73.0,73.0,146.0,1626,72.0,1.5092152684290281e-06,21531.0,888.0,1.0,0,60.0
6,605210,HP:0100753,"In a large Scottish pedigree, a balanced translocation t (1;11)(q42.1;q14.3) disrupting the DISC1 and DISC2 genes segregates with major mental illness, including schizophrenia and depression.",0,1.295564516129032,17818.979761904757,31.939285714285717,0.3441342230996482,0.011407350805438685,0.0,0.0,0.9901960784313726,101.0,-0.4820955509932641,0.1614315629164287,1.0,2.0,3.0,35.0,35.0,3.0,70.0,114,33.0,0.0002972651605231866,848.0,103.0,1.0,0,31.0
4,605210,HP:0100753,"A frame-shift carboxyl-terminal deletion was reported in DISC1 in an American family with schizophrenia, but subsequently found in two controls.",0,1.295564516129032,17818.979761904757,31.939285714285717,0.3441342230996482,0.011407350805438685,0.0,0.0,0.9901960784313726,101.0,-0.4820955509932641,0.1614315629164287,1.0,2.0,3.0,35.0,35.0,3.0,70.0,114,33.0,0.0002972651605231866,848.0,103.0,1.0,0,31.0
8,602117,HP:0001513,"These three CNVs are close to two known PWS genes, NDN (necdin homolog) and C15orf2 (chromosome 15 open reading frame 2), and partially overlap with another obesity gene PWRN1 (Prader-Willi region nonprotein-coding RNA 1).",1,1.3340610612762012,3739932.601945277,186.8859577922078,0.16382419752004818,0.21295574081773253,0.0,0.0,1.0014556040756917,688.0,-0.3733407928980257,0.13594241901086626,1.0,2.0,0.0,275.0,275.0,5.0,550.0,704,275.0,8.025102520684701e-06,32127.0,688.0,2.0,0,342.0
17,191170,HP:0002664,Data on the relationship between ribosome biogenesis and p53 function indicate that the tumour suppressor can be activated by either nucleolar disruption or ribosomal protein defects.,1,1.3454208312212703,8633395.496864246,230.38088663355396,0.15652290097941474,0.13406706378317107,0.0,0.0,1.0008305647840532,1205.0,-0.4378071388835026,0.08819012696268318,1.0,2.0,8.0,413.0,413.0,46.0,826.0,1542,412.0,1.6778973932186103e-06,63974.0,1205.0,1.0,0,490.0
201,616404,HP:0002664,"We found that a downregulation of rRNA synthesis, induced by silencing the POLR1A gene coding for the RNA polymerase I catalytic subunit, stabilised p53 without altering the nucleolar integrity in human cancer cells.",0,1.4035709491839143,3154603.398384072,304.5643074981597,0.16209639772125378,0.21646108517810025,0.0,0.0,0.9988674971687428,882.0,-0.7019512329253574,0.07748164166790507,1.0,2.0,24.0,112.0,112.0,109.0,224.0,1544,110.0,1.677897393218609e-06,30240.0,884.0,1.0,0,133.0
169,191170,HP:0002664,"We found that a downregulation of rRNA synthesis, induced by silencing the POLR1A gene coding for the RNA polymerase I catalytic subunit, stabilised p53 without altering the nucleolar integrity in human cancer cells.",1,1.3454208312212703,8633395.496864246,230.38088663355396,0.15652290097941474,0.13406706378317107,0.0,0.0,1.0008305647840532,1205.0,-0.4378071388835026,0.08819012696268318,1.0,2.0,8.0,413.0,413.0,46.0,826.0,1542,412.0,1.6778973932186103e-06,63974.0,1205.0,1.0,0,490.0
205,164785,HP:0002664,"Furthermore, we demonstrated that in three different experimental models characterised by an upregulation of rRNA synthesis, cancer cells treated with insulin or exposed to the insulin-like growth factor 1, rat liver stimulated by cortisol and regenerating rat liver after partial hepatectomy, the p53 protein level was reduced due to a lowered ribosomal protein availability for MDM2 binding.",1,1.391410468595884,3660844.478079444,241.1528468479716,0.1733730375837963,0.17860145508336964,0.0,0.0,1.001044932079415,958.0,-0.6026291737214196,0.07917269302338772,1.0,2.0,2.0,186.0,186.0,112.0,372.0,1542,185.0,1.6778973932186097e-06,36293.0,958.0,1.0,0,185.0
